Type,AISC_Manual_Label,W,A,d,bf,tw,tf,b/t,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J
W,W8X48,48.0,14.1,8.50,8.11,0.400,0.685,–,15.9,184,49.0,43.2,3.61,60.9,22.9,15.0,2.08,–,–,–,1.96
W,W8X40,40.0,11.7,8.25,8.07,0.360,0.560,–,17.6,146,39.8,35.5,3.53,49.1,18.5,12.2,2.04,–,–,–,1.12
W,W8X35,35.0,10.3,8.12,8.02,0.310,0.495,–,20.5,127,34.7,31.2,3.51,42.6,16.1,10.6,2.03,–,–,–,0.769
W,W8X31,31.0,9.13,8.00,8.00,0.285,0.435,–,22.3,110,30.4,27.5,3.47,37.1,14.1,9.27,2.02,–,–,–,0.536
W,W8X28,28.0,8.25,8.06,6.54,0.285,0.465,–,22.3,98.0,27.2,24.3,3.45,21.7,10.1,6.63,1.62,–,–,–,0.537
W,W8X24,24.0,7.08,7.93,6.50,0.245,0.400,–,25.9,82.7,23.1,20.9,3.42,18.3,8.57,5.63,1.61,–,–,–,0.346
W,W8X21,21.0,6.16,8.28,5.27,0.250,0.400,–,27.5,75.3,20.4,18.2,3.49,9.77,5.69,3.71,1.26,–,–,–,0.282
W,W8X18,18.0,5.26,8.14,5.25,0.230,0.330,–,29.9,61.9,17.0,15.2,3.43,7.97,4.66,3.04,1.23,–,–,–,0.172
W,W8X15,15.0,4.44,8.11,4.02,0.245,0.315,–,28.1,48.0,13.6,11.8,3.29,3.41,2.67,1.70,0.876,–,–,–,0.137
W,W8X13,13.0,3.84,7.99,4.00,0.230,0.255,–,29.9,39.6,11.4,9.91,3.21,2.73,2.15,1.37,0.843,–,–,–,0.0871
W,W8X10,10.0,2.96,7.89,3.94,0.170,0.205,–,40.5,30.8,8.87,7.81,3.22,2.09,1.66,1.06,0.841,–,–,–,0.0426
W,W6X25,25.0,7.34,6.38,6.08,0.320,0.455,–,15.5,53.4,18.9,16.7,2.70,17.1,8.56,5.61,1.52,–,–,–,0.461
W,W6X20,20.0,5.87,6.20,6.02,0.260,0.365,–,19.1,41.4,14.9,13.4,2.66,13.3,6.72,4.41,1.50,–,–,–,0.240
W,W6X15,15.0,4.43,5.99,5.99,0.230,0.260,–,21.6,29.1,10.8,9.72,2.56,9.32,4.75,3.11,1.45,–,–,–,0.101
W,W6X16,16.0,4.74,6.28,4.03,0.260,0.405,–,19.1,32.1,11.7,10.2,2.60,4.43,3.39,2.20,0.967,–,–,–,0.223
W,W6X12,12.0,3.55,6.03,4.00,0.230,0.280,–,21.6,22.1,8.30,7.31,2.49,2.99,2.32,1.50,0.918,–,–,–,0.0903
W,W6X9,9.00,2.68,5.90,3.94,0.170,0.215,–,29.2,16.4,6.23,5.56,2.47,2.20,1.72,1.11,0.905,–,–,–,0.0405
W,W6X8.5,8.50,2.52,5.83,3.94,0.170,0.195,–,29.1,14.9,5.73,5.10,2.43,1.99,1.56,1.01,0.890,–,–,–,0.0333
W,W5X19,19.0,5.56,5.15,5.03,0.270,0.430,–,13.7,26.3,11.6,10.2,2.17,9.13,5.53,3.63,1.28,–,–,–,0.316
W,W5X16,16.0,4.71,5.01,5.00,0.240,0.360,–,15.4,21.4,9.63,8.55,2.13,7.51,4.58,3.00,1.26,–,–,–,0.192
W,W4X13,13.0,3.83,4.16,4.06,0.280,0.345,–,10.6,11.3,6.28,5.46,1.72,3.86,2.92,1.90,1.00,–,–,–,0.151
M,M318X18.5,2340,318,318,95.2,3.18,6.35,–,–,270,233,126,0.837,27.5,17.5,18.9,–,–,–,20.5,20.4
M,M318X17.3,2190,318,318,88.9,3.18,4.76,–,–,246,210,123,0.629,22.5,14.2,16.9,–,–,–,17.2,15.3
M,M310X17.6,2240,305,305,79.4,4.76,6.35,–,–,234,197,116,0.454,18.8,11.6,14.2,–,–,–,20.8,10.1
M,M310X16.1,2050,305,305,79.4,4.76,4.76,–,–,216,182,116,0.420,17.5,10.8,14.3,–,–,–,16.4,9.40
M,M310X14.9,1900,305,305,82.6,3.18,4.76,–,–,200,169,116,0.429,16.7,10.4,15.0,–,–,–,12.2,9.64
M,M250X13.4,1710,254,254,69.8,4.76,4.76,–,–,151,128,97.3,0.280,13.3,8.19,12.8,–,–,–,13.1,4.32
M,M250X11.9,1530,253,254,69.8,3.18,4.76,–,–,134,114,97.0,0.247,11.7,7.23,12.7,–,–,–,9.32,3.81
