Type,AISC_Manual_Label,W,A,d,bf,tw,tf,b/t,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J
MC,MC12X14.3,14.3,4.18,12.0,2.12,0.250,0.313,6.77,43.5,76.1,15.9,12.7,4.27,1.00,1.21,0.574,0.489,–,–,–,0.117
MC,MC12X10.6,10.6,3.10,12.0,1.50,0.190,0.309,4.85,57.3,55.3,11.6,9.22,4.22,0.378,0.635,0.307,0.349,–,–,–,0.0596
MC,MC10X41.1,41.1,12.1,10.0,4.32,0.796,0.575,7.51,9.66,157,39.3,31.5,3.61,15.7,9.49,4.85,1.14,–,–,–,2.26
MC,MC10X33.6,33.6,9.87,10.0,4.10,0.575,0.575,7.13,13.4,139,33.7,27.8,3.75,13.1,8.28,4.35,1.15,–,–,–,1.20
MC,MC10X28.5,28.5,8.37,10.0,3.95,0.425,0.575,6.87,18.1,126,30.0,25.3,3.89,11.3,7.59,3.99,1.16,–,–,–,0.791
MC,MC10X25,25.0,7.34,10.0,3.41,0.380,0.575,5.93,20.2,110,26.2,22.0,3.87,7.25,5.65,2.96,0.993,–,–,–,0.638
MC,MC10X22,22.0,6.45,10.0,3.32,0.290,0.575,5.77,26.5,102,23.9,20.5,3.99,6.40,5.29,2.75,0.997,–,–,–,0.510
MC,MC10X8.4,8.40,2.46,10.0,1.50,0.170,0.280,5.36,52.6,31.9,7.92,6.39,3.61,0.326,0.548,0.268,0.364,–,–,–,0.0413
MC,MC10X6.5,6.50,1.95,10.0,1.17,0.152,0.202,5.79,59.8,22.9,5.90,4.59,3.43,0.133,0.284,0.137,0.262,–,–,–,0.0191
MC,MC9X25.4,25.4,7.47,9.00,3.50,0.450,0.550,6.36,15.1,87.9,23.5,19.5,3.43,7.57,5.70,2.99,1.01,–,–,–,0.691
MC,MC9X23.9,23.9,7.02,9.00,3.45,0.400,0.550,6.27,17.0,84.9,22.5,18.9,3.48,7.14,5.51,2.89,1.01,–,–,–,0.599
MC,MC8X22.8,22.8,6.70,8.00,3.50,0.427,0.525,6.67,13.8,63.8,19.1,15.9,3.09,7.01,5.37,2.81,1.02,–,–,–,0.572
MC,MC8X21.4,21.4,6.28,8.00,3.45,0.375,0.525,6.57,15.7,61.5,18.2,15.4,3.13,6.58,5.18,2.71,1.02,–,–,–,0.495
MC,MC8X20,20.0,5.87,8.00,3.03,0.400,0.500,6.06,15.0,54.4,16.4,13.6,3.04,4.42,3.86,2.02,0.867,–,–,–,0.441
MC,MC8X18.7,18.7,5.50,8.00,2.98,0.353,0.500,5.96,17.0,52.4,15.6,13.1,3.09,4.15,3.72,1.95,0.868,–,–,–,0.380
MC,MC8X8.5,8.50,2.50,8.00,1.87,0.179,0.311,6.01,38.4,23.3,6.95,5.82,3.05,0.624,0.875,0.431,0.500,–,–,–,0.0587
MC,MC7X22.7,22.7,6.67,7.00,3.60,0.503,0.500,7.20,9.94,47.4,16.4,13.5,2.67,7.24,5.38,2.83,1.04,–,–,–,0.625
MC,MC7X19.1,19.1,5.61,7.00,3.45,0.352,0.500,6.90,14.2,43.1,14.5,12.3,2.77,6.06,4.85,2.55,1.04,–,–,–,0.407
MC,MC6X18,18.0,5.29,6.00,3.50,0.379,0.475,7.37,10.8,29.7,11.7,9.89,2.37,5.88,4.68,2.47,1.05,–,–,–,0.379
MC,MC6X15.3,15.3,4.49,6.00,3.50,0.340,0.385,9.09,13.1,25.3,9.91,8.44,2.38,4.91,3.85,2.01,1.05,–,–,–,0.223
MC,MC6X16.3,16.3,4.79,6.00,3.00,0.375,0.475,6.32,10.9,26.0,10.4,8.66,2.33,3.77,3.47,1.82,0.887,–,–,–,0.336
MC,MC6X15.1,15.1,4.44,6.00,2.94,0.316,0.475,6.19,12.9,24.9,9.83,8.30,2.37,3.46,3.30,1.73,0.883,–,–,–,0.285
MC,MC6X12,12.0,3.53,6.00,2.50,0.310,0.375,6.67,14.5,18.7,7.47,6.24,2.30,1.85,1.97,1.03,0.724,–,–,–,0.155
MC,MC6X7,7.00,2.09,6.00,1.88,0.179,0.291,6.46,26.0,11.4,4.50,3.81,2.34,0.603,0.865,0.439,0.537,–,–,–,0.0464
MC,MC6X6.5,6.50,1.95,6.00,1.85,0.155,0.291,6.36,30.1,11.0,4.28,3.66,2.38,0.565,0.836,0.422,0.539,–,–,–,0.0412
MC,MC4X13.8,13.8,4.03,4.00,2.50,0.500,0.500,5.00,4.48,8.85,5.53,4.43,1.48,2.13,2.40,1.29,0.727,–,–,–,0.373
MC,MC3X7.1,7.10,2.11,3.00,1.94,0.312,0.351,5.53,4.93,2.72,2.24,1.81,1.14,0.666,0.998,0.518,0.562,–,–,–,0.0928
WT,WT550X249.5,31700,559,559,406,25.4,44.4,–,–,3830,2150,168,250,1930,1230,88.6,–,–,–,15500,118
WT,WT550X216.5,27500,554,552,403,22.2,39.7,–,–,3210,1820,166,217,1670,1080,88.6,–,–,–,10600,73.8
WT,WT550X195,24800,551,549,400,20.6,36.5,–,–,2880,1630,166,192,1490,960,88.1,–,–,–,7740,53.7
WT,WT550X171.5,21900,546,546,400,17.5,31.8,–,–,2570,1450,166,166,1280,828,87.1,–,–,–,5160,37.3
WT,WT500X488,62200,554,552,429,50.8,90.5,–,–,6980,3840,158,599,4440,2790,98.0,–,–,–,122000,857
WT,WT500X441.5,56300,546,546,425,46.0,82.6,–,–,6210,3420,156,524,3930,2470,96.5,–,–,–,92000,628
WT,WT500X374,47700,533,533,416,39.7,69.8,–,–,5150,2850,154,425,3230,2030,94.5,–,–,–,57400,376
WT,WT500X321,40800,523,524,413,33.3,60.3,–,–,4360,2430,153,351,2690,1700,92.7,–,–,–,36700,237
WT,WT500X295.5,37600,521,521,410,31.8,55.6,–,–,3930,2200,151,321,2460,1570,92.2,–,–,–,29400,182
WT,WT500X277,35300,516,518,410,30.2,52.4,–,–,3690,2060,151,295,2260,1450,91.4,–,–,–,24000,150
WT,WT500X269.5,34300,516,514,406,28.6,50.8,–,–,3560,2000,150,288,2210,1410,91.4,–,–,–,22600,137
WT,WT500X241.5,30800,511,511,403,25.4,46.0,–,–,3150,1770,149,253,1950,1260,90.7,–,–,–,16500,97.2
WT,WT500X221.5,28100,505,505,403,23.8,41.3,–,–,2880,1620,149,227,1750,1130,89.9,–,–,–,12700,74.9
WT,WT500X206,26300,503,505,403,20.6,39.7,–,–,2570,1450,147,217,1670,1080,90.9,–,–,–,10700,58.5
WT,WT500X185.5,23700,500,502,400,19.0,36.5,–,–,2290,1300,146,193,1490,964,90.2,–,–,–,7910,42.4
WT,WT500X160.5,20500,495,495,400,15.9,31.8,–,–,1970,1110,145,166,1270,828,89.9,–,–,–,5160,27.1
WT,WT500X148,18800,490,492,400,15.9,27.0,–,–,1920,1090,148,144,1120,723,87.6,–,–,–,3800,22.4
WT,WT500X292,37300,528,527,314,36.5,63.5,–,–,4510,2510,159,167,1740,1060,67.1,–,–,–,35500,214
WT,WT500X247,31500,518,518,308,31.8,54.0,–,–,3790,2100,158,134,1400,867,65.3,–,–,–,21900,130
WT,WT500X243,30900,518,518,308,30.2,54.0,–,–,3670,2050,157,133,1390,864,65.5,–,–,–,21400,121
WT,WT500X219,27800,513,514,305,27.0,49.2,–,–,3260,1820,156,117,1230,765,64.8,–,–,–,15900,86.5
WT,WT500X207.5,26500,511,511,305,25.4,46.0,–,–,3130,1740,156,109,1150,713,64.0,–,–,–,13500,75.7
WT,WT500X196.5,25000,508,508,302,23.8,44.4,–,–,2920,1630,155,102,1080,677,64.0,–,–,–,11600,62.6
WT,WT500X175,22300,503,505,302,20.6,39.7,–,–,2510,1400,153,92.4,967,611,64.5,–,–,–,8570,41.9
WT,WT500X157,20100,500,498,298,19.0,36.5,–,–,2250,1260,153,81.2,854,541,63.8,–,–,–,6330,30.3
WT,WT500X136,17200,495,495,298,15.9,30.2,–,–,1920,1080,152,68.7,721,459,63.2,–,–,–,4020,19.1
WT,WT500X124.5,15800,490,489,298,15.9,25.4,–,–,1880,1040,154,58.7,619,392,61.0,–,–,–,2910,16.9
WT,WT500X111,14100,485,486,298,15.9,20.6,–,–,1770,978,155,47.5,506,318,58.2,–,–,–,1940,13.9
WT,WT460X688.5,87700,549,549,473,76.2,114,–,–,10100,5520,156,1030,7060,4360,108,–,–,–,294000,2600
WT,WT460X634.5,81300,549,549,464,63.5,114,–,–,8740,4690,151,957,6610,4150,108,–,–,–,256000,1910
WT,WT460X597,76100,541,540,457,60.3,110,–,–,8050,4340,150,874,6100,3820,107,–,–,–,216000,1570
WT,WT460X538.5,69000,531,530,451,55.6,98.4,–,–,7110,3850,148,770,5390,3410,106,–,–,–,162000,1140
WT,WT460X485,62100,521,521,448,50.8,90.5,–,–,6280,3410,146,670,4750,3020,104,–,–,–,123000,824
WT,WT460X393.5,50200,505,505,438,41.3,74.6,–,–,4880,2690,142,516,3720,2380,102,–,–,–,67800,430
WT,WT460X362.5,46300,500,498,435,38.1,68.3,–,–,4460,2460,141,466,3380,2150,101,–,–,–,53300,336
WT,WT460X328,41900,493,492,432,34.9,61.9,–,–,3970,2200,140,415,3020,1920,99.6,–,–,–,40200,245
WT,WT460X294,37500,488,489,429,31.8,55.6,–,–,3490,1950,139,365,2650,1700,98.6,–,–,–,29400,175
WT,WT460X268.5,34200,483,483,425,28.6,50.8,–,–,3150,1750,138,327,2390,1540,97.8,–,–,–,22500,132
WT,WT460X245.5,31200,478,479,422,25.4,47.6,–,–,2830,1590,137,296,2160,1400,97.3,–,–,–,17500,99.9
WT,WT460X224.5,28700,475,473,422,23.8,42.9,–,–,2590,1460,136,270,1970,1270,97.0,–,–,–,13400,76.5
WT,WT460X210,26800,472,470,422,22.2,39.7,–,–,2390,1350,136,249,1840,1180,96.5,–,–,–,10900,62.0
WT,WT460X195,24800,467,467,419,20.6,36.5,–,–,2250,1270,136,227,1670,1080,95.5,–,–,–,8660,49.7
WT,WT460X184,23400,465,467,419,20.6,34.9,–,–,2110,1200,136,211,1550,1010,95.0,–,–,–,7200,41.6
WT,WT460X171.9,22000,464,464,419,19.0,31.8,–,–,2000,1130,136,196,1440,934,94.2,–,–,–,5950,34.6
WT,WT460X190.5,24300,475,476,311,23.8,44.4,–,–,2560,1430,144,110,1120,708,67.3,–,–,–,11000,55.0
WT,WT460X172.5,21900,472,470,308,22.2,39.7,–,–,2290,1290,143,97.4,998,633,66.5,–,–,–,8200,40.5
WT,WT460X156.5,19900,465,467,308,20.6,34.9,–,–,2150,1200,144,85.7,875,554,65.5,–,–,–,5790,32.0
WT,WT460X144.5,18400,462,464,308,19.0,31.8,–,–,1970,1100,143,77.8,800,506,65.0,–,–,–,4620,24.9
WT,WT460X135.5,17300,462,460,308,19.0,30.2,–,–,1850,1030,143,72.4,742,472,64.8,–,–,–,3830,20.8
WT,WT460X126.5,16100,460,460,305,17.5,28.6,–,–,1720,965,142,66.6,685,436,64.3,–,–,–,3130,17.0
WT,WT460X119,15200,457,457,305,15.9,25.4,–,–,1640,914,142,61.2,633,403,63.5,–,–,–,2570,14.4
WT,WT460X111.5,14300,455,454,305,15.9,23.8,–,–,1560,870,143,56.2,580,369,62.7,–,–,–,2100,12.4
WT,WT460X100.5,12800,452,451,305,15.9,20.6,–,–,1480,814,144,47.0,488,310,60.5,–,–,–,1450,10.0
WT,WT420X288,36800,457,457,413,31.8,57.2,–,–,3160,1750,129,337,2560,1640,95.8,–,–,–,30800,165
WT,WT420X263.5,33600,452,451,410,30.2,52.4,–,–,2850,1590,128,303,2310,1480,95.0,–,–,–,23800,126
WT,WT420X236.5,30200,447,448,406,27.0,47.6,–,–,2520,1410,127,268,2050,1320,94.2,–,–,–,17500,90.0
WT,WT420X216.5,27600,442,441,403,23.8,44.4,–,–,2290,1280,126,242,1850,1200,93.5,–,–,–,13500,68.7
WT,WT420X196,25000,439,438,400,22.2,39.7,–,–,2050,1150,125,215,1660,1070,92.7,–,–,–,10100,50.5
WT,WT420X179.5,23000,434,435,403,20.6,34.9,–,–,1900,1080,126,194,1490,964,91.9,–,–,–,7490,39.2
WT,WT420X164.5,21000,432,432,400,19.0,31.8,–,–,1750,996,126,175,1350,872,91.2,–,–,–,5790,30.3
WT,WT420X149.5,19200,427,429,400,17.5,28.6,–,–,1600,909,126,156,1200,780,90.4,–,–,–,4330,22.8
WT,WT420X125.5,15900,429,429,292,17.5,31.8,–,–,1490,837,130,64.5,690,442,63.5,–,–,–,3670,14.9
WT,WT420X113,14500,424,425,295,15.9,27.0,–,–,1380,777,131,56.6,605,387,62.7,–,–,–,2560,11.5
WT,WT420X105,13400,424,422,292,15.9,23.8,–,–,1310,733,131,51.2,547,349,61.7,–,–,–,2010,9.51
WT,WT420X96.5,12300,419,419,292,14.3,22.2,–,–,1240,690,132,45.4,487,310,60.5,–,–,–,1530,7.87
WT,WT420X88,11200,417,416,292,14.3,19.0,–,–,1160,642,132,38.9,420,267,58.9,–,–,–,1100,6.28
WT,WT380X291,37200,422,422,397,34.9,61.9,–,–,2900,1590,117,322,2540,1630,93.2,–,–,–,35900,171
WT,WT380X265.5,33900,417,416,394,31.8,57.2,–,–,2610,1430,116,288,2290,1470,92.5,–,–,–,27700,128
WT,WT380X242,31000,411,413,391,28.6,52.4,–,–,2340,1290,115,259,2060,1330,91.4,–,–,–,21300,96.9
WT,WT380X217,27700,406,406,387,25.4,47.6,–,–,2050,1140,114,229,1820,1180,90.9,–,–,–,15600,69.0
WT,WT380X194.5,24800,401,400,384,23.8,41.3,–,–,1840,1020,113,200,1600,1040,89.7,–,–,–,11200,49.4
WT,WT380X175,22400,399,397,381,20.6,38.1,–,–,1610,903,112,178,1430,931,89.2,–,–,–,8370,35.7
WT,WT380X157,20100,394,394,384,19.0,33.3,–,–,1470,828,113,157,1270,821,88.6,–,–,–,5870,25.9
WT,WT380X142,18100,389,391,381,17.5,30.2,–,–,1320,749,112,140,1130,733,87.9,–,–,–,4370,19.1
WT,WT380X128.5,16400,386,387,381,15.9,27.0,–,–,1200,683,112,124,1010,654,86.9,–,–,–,3240,14.2
WT,WT380X110,14100,389,391,267,15.9,30.2,–,–,1180,665,118,47.5,556,356,57.9,–,–,–,3010,10.1
WT,WT380X98,12600,386,384,267,15.9,25.4,–,–,1090,613,118,40.8,479,305,57.2,–,–,–,2020,7.65
WT,WT380X92.5,11700,384,384,267,14.3,23.8,–,–,1030,578,118,37.6,442,282,56.6,–,–,–,1660,6.42
WT,WT380X86.5,11000,381,381,267,14.3,22.2,–,–,990,552,119,34.2,403,256,55.6,–,–,–,1340,5.50
WT,WT380X80.5,10300,378,378,267,14.3,19.0,–,–,946,524,119,30.4,359,228,54.6,–,–,–,1040,4.65
WT,WT380X73.5,9350,376,378,267,12.7,17.5,–,–,891,492,120,26.6,316,200,53.3,–,–,–,783,3.84
WT,WT380X67,8520,376,375,264,12.7,15.9,–,–,803,444,119,23.9,283,180,53.1,–,–,–,587,2.82
WT,WT345X401,51200,414,413,387,50.8,90.5,–,–,3970,2100,112,441,3570,2260,92.7,–,–,–,103000,467
WT,WT345X274,35000,386,387,371,34.9,63.5,–,–,2470,1340,106,273,2290,1460,88.4,–,–,–,35200,143
WT,WT345X250,31900,381,381,368,31.8,57.2,–,–,2210,1200,105,244,2060,1320,87.6,–,–,–,27200,108
WT,WT345X228.5,29200,376,375,368,30.2,52.4,–,–,1980,1090,104,219,1850,1190,86.6,–,–,–,21000,81.6
WT,WT345X209.5,26800,371,371,365,27.0,49.2,–,–,1790,982,103,199,1690,1090,86.1,–,–,–,16500,62.3
WT,WT345X192,24600,368,368,362,25.4,44.4,–,–,1620,896,102,179,1530,987,85.3,–,–,–,12800,47.8
WT,WT345X175,22400,363,365,362,23.8,41.3,–,–,1470,819,102,160,1370,888,84.6,–,–,–,9740,36.3
WT,WT345X161.5,20600,361,362,359,20.6,38.1,–,–,1330,741,101,147,1260,818,84.3,–,–,–,7830,28.2
WT,WT345X144.5,18500,358,356,356,19.0,33.3,–,–,1180,660,100,129,1110,723,83.6,–,–,–,5620,20.0
WT,WT345X132.5,17000,353,352,359,19.0,30.2,–,–,1110,626,101,116,996,646,82.6,–,–,–,4160,15.5
WT,WT345X120,15400,351,349,356,17.5,27.0,–,–,996,564,100,103,893,580,82.0,–,–,–,3130,11.5
WT,WT345X108.5,13900,348,349,356,15.9,25.4,–,–,901,511,100,92.4,800,519,81.3,–,–,–,2340,8.51
WT,WT345X96,12200,351,352,254,15.9,28.6,–,–,903,508,105,38.4,472,302,56.1,–,–,–,2310,6.44
WT,WT345X85,10800,345,346,257,14.3,23.8,–,–,826,464,105,33.0,403,259,55.4,–,–,–,1520,4.70
WT,WT345X76,9680,343,343,254,12.7,20.6,–,–,737,415,105,29.0,356,228,54.6,–,–,–,1090,3.38
WT,WT345X70,8900,343,343,254,12.7,19.0,–,–,695,390,106,25.8,318,203,53.8,–,–,–,837,2.74
WT,WT345X62.5,8000,340,340,254,11.1,15.9,–,–,642,359,106,22.0,272,174,52.6,–,–,–,583,2.09
WT,WT305X275.5,35200,356,356,346,38.1,69.8,–,–,2290,1220,96.0,242,2180,1390,83.1,–,–,–,41600,149
WT,WT305X249,31700,351,349,343,34.9,63.5,–,–,2020,1090,94.7,214,1950,1240,82.0,–,–,–,31500,109
WT,WT305X227.5,29000,345,346,340,31.8,57.2,–,–,1800,973,93.7,191,1750,1120,81.3,–,–,–,24300,81.9
WT,WT305X207.5,26500,340,340,337,30.2,52.4,–,–,1620,878,92.7,171,1580,1010,80.5,–,–,–,18800,61.8
WT,WT305X186,23700,335,333,333,27.0,47.6,–,–,1420,773,91.7,151,1400,900,79.8,–,–,–,13800,44.3
WT,WT305X170.5,21700,330,330,333,23.8,44.4,–,–,1280,703,90.9,136,1260,814,79.0,–,–,–,10600,33.6
WT,WT305X153.5,19500,328,327,330,22.2,39.7,–,–,1140,628,90.2,120,1120,728,78.2,–,–,–,7950,24.5
WT,WT305X142.5,18200,323,324,330,20.6,36.5,–,–,1040,577,89.7,110,1030,670,78.0,–,–,–,6370,19.5
WT,WT305X131,16600,320,321,327,19.0,33.3,–,–,947,528,89.2,99.9,939,610,77.2,–,–,–,4950,15.0
WT,WT305X120.5,15400,318,318,330,17.5,31.8,–,–,873,490,88.9,92.0,862,560,77.5,–,–,–,3840,11.8
WT,WT305X108.5,13900,315,314,327,15.9,27.0,–,–,790,446,88.9,81.2,764,497,76.5,–,–,–,2790,8.57
WT,WT305X97.5,12500,310,311,327,15.9,23.8,–,–,719,406,89.4,70.8,667,434,75.4,–,–,–,1970,6.20
WT,WT305X87,11100,307,308,324,14.3,22.2,–,–,642,365,89.2,62.0,585,380,74.7,–,–,–,1390,4.40
WT,WT305X77.5,9870,305,305,324,12.7,19.0,–,–,575,328,89.2,54.1,511,333,73.9,–,–,–,978,3.12
WT,WT305X76.5,9740,312,311,229,14.3,25.4,–,–,642,361,93.2,24.8,339,218,50.5,–,–,–,1470,3.30
WT,WT305X70,8900,310,308,232,12.7,22.2,–,–,592,333,93.2,22.7,306,197,50.3,–,–,–,1090,2.57
WT,WT305X62.5,8000,307,305,229,12.7,19.0,–,–,533,300,93.2,19.6,267,172,49.5,–,–,–,766,1.85
WT,WT305X56.5,7230,305,305,229,11.1,17.5,–,–,493,277,93.5,17.2,234,150,48.8,–,–,–,558,1.42
WT,WT305X50.5,6450,302,302,229,11.1,14.3,–,–,457,256,94.0,14.7,202,129,47.5,–,–,–,388,1.10
WT,WT305X46,5880,302,302,178,11.1,14.3,–,–,465,256,96.3,7.16,129,80.3,35.1,–,–,–,354,1.05
WT,WT305X41,5230,300,298,178,9.52,12.7,–,–,420,231,96.5,6.04,109,68.0,34.0,–,–,–,245,0.787
WT,WT265X204.5,26400,307,308,327,31.8,55.6,–,–,1410,749,81.3,164,1560,1000,78.7,–,–,–,22300,60.2
WT,WT265X184.5,23900,302,302,324,28.6,50.8,–,–,1240,661,80.0,145,1390,893,78.0,–,–,–,16700,43.8
WT,WT265X166,21400,297,298,324,25.4,46.0,–,–,1090,588,79.2,128,1230,792,77.2,–,–,–,12300,31.4
WT,WT265X150,19100,292,292,321,23.8,41.3,–,–,960,523,78.7,113,1090,706,76.7,–,–,–,8490,22.9
WT,WT265X136,17300,290,289,318,20.6,38.1,–,–,854,467,78.0,100,975,633,76.2,–,–,–,6370,16.9
WT,WT265X124,15700,284,286,314,19.0,34.9,–,–,759,418,77.2,90.3,883,574,75.9,–,–,–,4910,12.7
WT,WT265X109.5,13900,279,279,318,19.0,28.6,–,–,695,388,78.2,78.3,759,492,74.9,–,–,–,3200,8.73
WT,WT265X98,12500,277,276,318,15.9,27.0,–,–,616,346,77.7,69.1,674,438,74.4,–,–,–,2340,6.28
WT,WT265X91,11500,274,276,314,15.9,23.8,–,–,562,316,77.2,63.3,619,403,73.9,–,–,–,1860,4.94
WT,WT265X82.5,10500,274,273,314,14.3,22.2,–,–,508,287,77.0,57.0,559,364,73.7,–,–,–,1420,3.71
WT,WT265X75,9610,272,270,311,12.7,20.6,–,–,457,259,76.5,51.6,505,331,73.4,–,–,–,1080,2.79
WT,WT265X69,8840,274,273,213,14.3,23.8,–,–,521,293,82.6,19.3,283,180,46.7,–,–,–,1250,2.51
WT,WT265X61.5,7870,272,273,213,12.7,20.6,–,–,459,257,81.8,16.9,249,160,46.5,–,–,–,899,1.75
WT,WT265X54.5,6900,269,270,210,11.1,19.0,–,–,400,226,81.5,14.7,218,139,46.0,–,–,–,629,1.19
WT,WT265X50.5,6450,269,270,210,11.1,17.5,–,–,375,211,81.3,13.5,200,128,45.7,–,–,–,508,0.972
WT,WT265X46,5890,267,267,210,9.52,15.9,–,–,346,195,81.5,11.9,179,114,45.0,–,–,–,380,0.747
WT,WT265X41,5230,264,264,210,9.52,12.7,–,–,318,179,82.0,10.1,150,96.5,43.9,–,–,–,257,0.559
WT,WT265X36,4560,262,260,206,9.52,11.1,–,–,292,162,82.8,8.07,122,78.0,42.2,–,–,–,166,0.408
WT,WT265X42.5,5400,267,267,165,9.52,15.9,–,–,347,193,83.6,6.37,121,76.5,34.3,–,–,–,368,0.671
WT,WT265X37,4750,264,264,165,9.52,14.3,–,–,318,175,83.8,5.20,99.6,62.6,33.0,–,–,–,237,0.508
WT,WT265X33,4190,262,264,165,9.52,11.1,–,–,288,159,84.1,4.29,83.1,52.1,32.0,–,–,–,159,0.376
WT,WT230X232,29500,284,283,305,38.1,69.8,–,–,1480,764,73.4,166,1700,1080,74.9,–,–,–,36300,91.0
WT,WT230X210.5,26900,277,276,302,34.9,63.5,–,–,1310,680,72.4,147,1520,970,73.9,–,–,–,27700,67.4
WT,WT230X192,24500,272,273,298,31.8,58.7,–,–,1160,606,71.1,131,1360,875,73.2,–,–,–,21300,50.8
WT,WT230X174.5,22100,267,267,295,30.2,54.0,–,–,1020,536,69.9,116,1220,785,72.4,–,–,–,16300,37.6
WT,WT230X157.5,20100,262,264,292,27.0,49.2,–,–,901,477,69.1,102,1080,700,71.6,–,–,–,12100,27.4
WT,WT230X143,18100,259,257,292,23.8,44.4,–,–,795,423,68.1,91.6,973,629,70.9,–,–,–,9280,20.3
WT,WT230X130,16600,254,254,289,22.2,39.7,–,–,714,383,67.6,81.6,870,564,70.1,–,–,–,6990,15.2
WT,WT230X117.5,15000,250,251,286,20.6,36.5,–,–,631,341,66.8,72.4,777,503,69.6,–,–,–,5200,11.1
WT,WT230X106.5,13500,248,248,286,19.0,33.3,–,–,557,303,66.0,64.9,700,454,69.1,–,–,–,3990,8.24
WT,WT230X96.5,12400,245,244,283,17.5,30.2,–,–,500,274,65.5,57.9,628,408,68.6,–,–,–,3010,6.12
WT,WT230X88.5,11400,241,241,286,15.9,27.0,–,–,470,261,66.0,52.4,565,369,68.3,–,–,–,2210,4.67
WT,WT230X79,10100,238,238,286,14.3,23.8,–,–,413,231,65.8,45.8,495,323,67.6,–,–,–,1550,3.25
WT,WT230X72,9160,236,235,283,14.3,22.2,–,–,370,208,65.0,41.6,452,295,67.3,–,–,–,1220,2.49
WT,WT230X64,8190,234,235,283,12.7,19.0,–,–,326,184,64.8,36.5,397,259,66.8,–,–,–,849,1.72
WT,WT230X56.5,7160,231,232,279,11.1,17.5,–,–,283,161,64.5,31.7,346,226,66.3,–,–,–,587,1.17
WT,WT230X53,6710,235,235,194,12.7,20.6,–,–,328,184,69.6,12.5,202,129,43.2,–,–,–,724,1.06
WT,WT230X48.5,6160,233,232,194,11.1,19.0,–,–,295,166,69.1,11.4,184,118,42.9,–,–,–,566,0.808
WT,WT230X44.5,5690,232,232,190,11.1,17.5,–,–,270,152,68.8,10.4,169,109,42.7,–,–,–,450,0.631
WT,WT230X41,5230,230,229,190,9.52,15.9,–,–,251,141,68.8,9.37,152,97.8,42.4,–,–,–,345,0.494
WT,WT230X37,4740,229,229,190,9.52,14.3,–,–,226,128,68.6,8.32,136,87.7,41.9,–,–,–,258,0.365
WT,WT230X34,4370,229,229,152,9.52,15.9,–,–,228,127,70.4,4.70,95.7,60.8,32.8,–,–,–,253,0.322
WT,WT230X30,3790,227,229,152,7.94,12.7,–,–,197,110,70.1,3.98,81.4,51.9,32.3,–,–,–,168,0.212
WT,WT230X26,3320,225,225,152,7.94,11.1,–,–,184,102,70.9,3.19,65.9,42.0,31.0,–,–,–,105,0.161
WT,WT205X74.5,9480,216,216,264,14.3,25.4,–,–,339,187,57.9,38.8,449,293,63.8,–,–,–,1600,2.79
WT,WT205X66,8450,213,213,264,12.7,22.2,–,–,297,166,57.7,33.8,393,257,63.2,–,–,–,1130,1.93
WT,WT205X57,7290,210,210,260,11.1,19.0,–,–,251,141,56.9,28.8,336,220,62.7,–,–,–,741,1.24
WT,WT205X50,6330,208,206,260,9.52,17.5,–,–,213,121,56.4,24.8,290,190,62.5,–,–,–,495,0.808
WT,WT205X42.5,5410,209,210,181,11.1,17.5,–,–,226,127,61.2,8.99,154,99.3,40.6,–,–,–,458,0.534
WT,WT205X37.5,4750,207,206,181,9.52,15.9,–,–,197,111,61.0,7.74,134,86.2,40.4,–,–,–,316,0.360
WT,WT205X33.5,4280,205,206,178,9.52,14.3,–,–,177,100,60.7,6.83,118,76.5,39.9,–,–,–,231,0.262
WT,WT205X30,3800,203,203,178,7.94,12.7,–,–,155,87.7,60.2,5.99,104,67.5,39.6,–,–,–,165,0.181
WT,WT205X26.5,3410,201,200,178,7.94,11.1,–,–,146,82.8,61.2,5.08,88.8,57.4,38.6,–,–,–,113,0.139
WT,WT205X23.05,2940,202,203,140,6.35,11.1,–,–,136,76.0,62.2,2.58,57.5,36.7,29.7,–,–,–,95.7,0.0983
WT,WT205X19.4,2480,199,200,140,6.35,9.52,–,–,121,67.0,62.7,1.99,44.7,28.5,28.4,–,–,–,54.1,0.0653
WT,WT180X694.5,83200,300,298,476,100,140,–,–,4610,2150,72.1,1280,8380,5380,124,–,–,–,462000,2410
WT,WT180X601,76800,290,289,473,95.3,130,–,–,4080,1900,69.9,1150,7620,4880,122,–,–,–,374000,1880
WT,WT180X543,69000,284,286,454,77.8,125,–,–,3460,1560,66.5,982,6690,4330,119,–,–,–,297000,1410
WT,WT180X495,63100,274,276,448,71.4,114,–,–,2980,1350,64.0,866,5980,3870,117,–,–,–,231000,1050
WT,WT180X450,57400,267,267,441,66.7,106,–,–,2570,1160,61.7,766,5340,3460,116,–,–,–,179000,787
WT,WT180X409,52200,257,257,438,60.3,96.8,–,–,2230,998,59.4,678,4790,3100,114,–,–,–,138000,585
WT,WT180X372,47400,249,248,432,55.6,88.9,–,–,1920,864,57.4,599,4280,2770,113,–,–,–,106000,435
WT,WT180X338.5,43200,242,241,429,50.8,81.0,–,–,1670,752,55.6,533,3830,2490,111,–,–,–,81600,325
WT,WT180X317,40500,237,238,425,47.6,77.8,–,–,1500,678,54.4,491,3560,2310,110,–,–,–,68300,266
